code,name,value
us-ar-081,"Little River County, AR",0.0
us-ar-083,"Logan County, AR",33.0
us-ar-085,"Lonoke County, AR",12.0
us-ar-087,"Madison County, AR",75.0
us-ar-089,"Marion County, AR",25.0
us-ar-091,"Miller County, AR",8.0
us-ar-093,"Mississippi County, AR",33.0
us-ar-095,"Monroe County, AR",33.0
us-ar-097,"Montgomery County, AR",100.0
us-ar-099,"Nevada County, AR",67.0
us-ar-101,"Newton County, AR",50.0
us-ar-103,"Ouachita County, AR",50.0
us-ar-105,"Perry County, AR",0.0
us-ar-107,"Phillips County, AR",67.0
us-ar-109,"Pike County, AR",33.0
us-ar-111,"Poinsett County, AR",14.0
us-ar-113,"Polk County, AR",50.0
us-ar-115,"Pope County, AR",36.0
us-ar-117,"Prairie County, AR",33.0
us-ar-119,"Pulaski County, AR",27.0
us-ar-121,"Randolph County, AR",50.0
us-ar-123,"St. Francis County, AR",50.0
us-ar-125,"Saline County, AR",5.0
us-ar-127,"Scott County, AR",33.0
us-ar-129,"Searcy County, AR",33.0
us-ar-131,"Sebastian County, AR",8.0
us-ar-133,"Sevier County, AR",50.0
us-ar-135,"Sharp County, AR",50.0
us-ar-137,"Stone County, AR",67.0
us-ar-139,"Union County, AR",40.0
us-ar-141,"Van Buren County, AR",40.0
us-ar-143,"Washington County, AR",22.0
us-ar-145,"White County, AR",23.0
us-ar-147,"Woodruff County, AR",0.0
us-ar-149,"Yell County, AR",33.0
us-ca-001,"Alameda County, CA",2.0
us-ca-003,"Alpine County, CA",0.0
us-ca-005,"Amador County, CA",0.0
us-ca-007,"Butte County, CA",27.0
us-ca-009,"Calaveras County, CA",0.0
us-ca-011,"Colusa County, CA",20.0
us-ca-013,"Contra Costa County, CA",7.0
us-ca-015,"Del Norte County, CA",43.0
us-ca-017,"El Dorado County, CA",9.0
us-ca-019,"Fresno County, CA",15.0
us-ca-021,"Glenn County, CA",33.0
us-ca-023,"Humboldt County, CA",23.0
us-ca-025,"Imperial County, CA",32.0
us-ca-027,"Inyo County, CA",33.0
us-ca-029,"Kern County, CA",15.0
